ID,dct:source,ms:resourceName,metadataRecordIdentifier,resourceCreator,ORCID,Creation date,licence,size/amount,categoryLabel,LCRsubclass,subject,language,landingPage,generalDocumentation,annotationSchema,dataFormat,sourceMetadataGeneration,META-SHARE property,ontology,externalResource,externalResource/comment,downloadLocation,distributionLocation/comment,accessLocation ,accessibleThroughQuery,accessibleThroughQuery/comment,comment,,
210,AnnoHub,Agriculture,,"Agricultural manuals: ""Engelska Åker-Mannen"" and ""En Grundelig Kundskap Om Swenska Åkerbruket""",,,CC-BY,,linguistics,corpora,,Swedish,,,,,Metadata generated from USER,,,,,,,,,,,,
91,LOD Cloud,AgriNepalData,agrinepaldata,,,,CC BY-NC 2.0,1433631,government,,,English,,,,,,,,,,,,,,,,,
92,LOD Cloud,AGRIS,agris,,,,CC BY-NC 2.0,239565943,,,,English,http://agris.fao.org/aos/records/info.html,,,,,,,,,,,,,,,,
9,LOD Cloud,AGROVOC,agrovoc,,,,CC BY 3.0,5878468,cross_domain,,,Multilingual,http://aims.fao.org/vest-registry/vocabularies/agrovoc,,,,,,,,,,,,,,,Available,"Why is this cross-domain? It's mainly for agriculture or life scieneces, if you prefer a broader term."
1170,LOD Cloud,AI/RHEUM,bioportal-air,,,,,5528,life_sciences,,,English,http://bioportal.bioontology.org/ontologies/1430,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services,,,,,,,,,,,,,,,
1171,LOD Cloud,Airport data from Our Airports published as RDF,data-incubator-our-airports,,,,,748363,geography,,,,http://airports.dataincubator.org/,,,,,,,,,,,,,,,,
10,LOD Cloud,Albanet WordNet (as part of Open Multilingual WordNet),omwn-als,,,,CC BY 3.0,61243,linguistics,lexicons and dictionaries,,Albanian,http://compling.hss.ntu.edu.sg/omw/,,,Tab separated,,831.0,N/A,N/A,N/A,http://compling.hss.ntu.edu.sg/omw/,yes,http://omwn.linguistic-lod.org/sparql,no,,"This dataset has tab separated data, I don't know if we can consider it as linked data..?",,
758,LOD Cloud,aliada-scanbit-net,aliada-scanbit-net,,,,CC-zero,20055,cross_domain,Typological Databases?,,multilingual,http://biblioteca.artium.org,,,,,,,,,,,,,,,Not available,
211,LOD Cloud,Allie Abbreviation And Long Form Database in Life Science,allie-abbreviation-and-long-form-database-in-life-science,,,,CC-BY,94420988,life_sciences,,,,http://allie.dbcls.jp/,,,,,,,,,,,,,,,,
854,LOD Cloud,Alpine Ski Racers of Austria,austrian_ski_racers,,,,GFDL,4183,cross_domain,,,,http://vocabulary.semantic-web.at/AustrianSkiTeam,,,,,,,,,,,,,,,,
646,LOD Cloud,ALPINO RDF Treebank,alpino-rdf,,,,CC-BY-SA,1799901,,,,Italian,,,,,,,,,,,,,,,,,
2342,LOD Cloud,Amer Nejma,Amer Nejma,El Distro Network,,,CC-BY,0,media,,,,https://eldistronetwork.com/amer-nejma/,,,,,,,,,,,,,,,,
